attacker_model,victim_model,vanilla_breach_rate,plus_breach_rate,delta_breach_pp,vanilla_impact_mean,plus_impact_mean
ArcFace,GhostFaceNet,0.327,0.375,4.799999999999999,0.08206638442287219,0.09863044441896489
ArcFace,IR152,0.095,0.1744,7.9399999999999995,0.14460933972061613,0.18790526961050927
ArcFace,VGG-Face,0.1774,0.2544,7.700000000000001,0.09467819056166335,0.12045884536253289
Facenet512,ArcFace,0.4286,0.4754,4.680000000000001,0.187546467910707,0.20507966123111546
Facenet512,GhostFaceNet,0.3972,0.4278,3.0600000000000014,0.10852569585908202,0.11918885040525347
Facenet512,IR152,0.1916,0.2418,5.02,0.1973338664936833,0.2185637199413497
Facenet512,VGG-Face,0.453,0.5092,5.619999999999997,0.1807237981762737,0.19772660851422696
GhostFaceNet,ArcFace,0.16492985971943888,0.2160320641282565,5.110220440881763,0.07184798940148329,0.09547697850736321
GhostFaceNet,IR152,0.04849699398797595,0.07535070140280561,2.685370741482966,0.08524656149694966,0.11748608605169086
GhostFaceNet,VGG-Face,0.06813627254509018,0.09739478957915831,2.9258517034068134,0.043512019678858836,0.05895071171951068
VGG-Face,ArcFace,0.4102,0.4918,8.16,0.18061435588672758,0.21335752660837023
VGG-Face,GhostFaceNet,0.3544,0.3978,4.34,0.09483965747358741,0.10908251063078642
VGG-Face,IR152,0.0992,0.1474,4.82,0.1506731094364077,0.1795691880548373
