attacker_model,lambda_value,lambda_label,n,breach_rate,impact_mean
Facenet512,0.0,0.0,540,0.4888888888888889,0.2341310631781298
Facenet512,0.15,0.15,540,0.4962962962962963,0.2354824375913098
Facenet512,0.2,0.2,540,0.4962962962962963,0.2352584377776279
Facenet512,0.25,0.25,540,0.4944444444444444,0.2352752910944184
Facenet512,0.3,0.3,540,0.4981481481481482,0.2355896458650628
Facenet512,0.35,0.35,540,0.4944444444444444,0.2352346628800862
Facenet512,0.55,0.55,540,0.4907407407407407,0.2327715963487409
Facenet512,0.75,0.75,540,0.4814814814814814,0.2302343237912282
GhostFaceNet,0.0,0.0,540,0.1759259259259259,0.1118632497593622
GhostFaceNet,0.15,0.15,540,0.1814814814814815,0.1140162751130345
GhostFaceNet,0.2,0.2,540,0.1851851851851851,0.1150319076289802
GhostFaceNet,0.25,0.25,540,0.1722222222222222,0.1152649199383126
GhostFaceNet,0.3,0.3,540,0.1759259259259259,0.1147404758604588
GhostFaceNet,0.35,0.35,540,0.1796296296296296,0.114741619017527
GhostFaceNet,0.55,0.55,540,0.1703703703703703,0.1135303368076199
GhostFaceNet,0.75,0.75,540,0.1685185185185185,0.1148348252737411
