attacker_model,victim_model,vanilla_breach_rate,plus_breach_rate,delta_breach_pp,vanilla_impact_mean,plus_impact_mean
ArcFace,GhostFaceNet,0.3199652777777778,0.3692708333333333,4.9305555555555545,0.08325779560040648,0.09990058450586928
ArcFace,IR152,0.09739583333333333,0.1736111111111111,7.621527777777777,0.14345628770457147,0.18589730507248733
ArcFace,VGG-Face,0.1717013888888889,0.2465277777777778,7.48263888888889,0.09384095875923065,0.11985493133219684
Facenet512,ArcFace,0.4233890214797136,0.4733492442322991,4.996022275258555,0.1854101116498584,0.20388069166227665
Facenet512,GhostFaceNet,0.3918854415274463,0.42386634844868737,3.198090692124106,0.10860968043415692,0.11997036272841417
Facenet512,IR152,0.1890214797136038,0.24439140811455848,5.536992840095467,0.19319006132121977,0.21618939895707412
Facenet512,VGG-Face,0.4510739856801909,0.5097852028639618,5.871121718377087,0.17925002194226808,0.19788787166233113
GhostFaceNet,ArcFace,0.165,0.1864,2.14,0.07199399719713254,0.08270514841522088
GhostFaceNet,IR152,0.0484,0.0622,1.38,0.08535883780959991,0.09798265769137068
GhostFaceNet,VGG-Face,0.068,0.0774,0.9399999999999992,0.04368032249468377,0.05061881748074663
VGG-Face,ArcFace,0.4099108027750248,0.4711595639246779,6.124876114965311,0.18093051655131243,0.20737698138525343
VGG-Face,GhostFaceNet,0.35401387512388505,0.3924677898909812,3.8453914767096142,0.09505736373655213,0.10684759413040769
VGG-Face,IR152,0.10009910802775025,0.14033696729435086,4.02378592666006,0.1507207761920169,0.17662577601971163
