surrogate_attacker_model,evaluated_victim_model,pair_included_in_cross_model_analysis,cross_model_protocol_note,vanilla_breach_rate_fraction,facesm_breach_rate_fraction,vanilla_breach_rate_pct,facesm_breach_rate_pct,facesm_minus_vanilla_breach_pp,vanilla_impact_mean,facesm_impact_mean,facesm_minus_vanilla_impact,n_vanilla,n_plus
ArcFace,Facenet,yes,Self-transfer excluded; Facenet512->Facenet excluded as same-family case,0.1696,0.272,16.96,27.200000000000003,10.240000000000002,0.1829635613782331,0.2428350683209486,0.0598715069427155,5000,5000
ArcFace,Facenet512,yes,Self-transfer excluded; Facenet512->Facenet excluded as same-family case,0.1572,0.2502,15.72,25.019999999999996,9.299999999999995,0.1826149591226596,0.236969161276333,0.0543542021536734,5000,5000
ArcFace,GhostFaceNet,yes,Self-transfer excluded; Facenet512->Facenet excluded as same-family case,0.327,0.375,32.7,37.5,4.799999999999999,0.0820663844228721,0.0986304444189648,0.0165640599960927,5000,5000
ArcFace,IR152,yes,Self-transfer excluded; Facenet512->Facenet excluded as same-family case,0.095,0.1744,9.5,17.44,7.939999999999999,0.1446093397206161,0.1879052696105092,0.0432959298898931,5000,5000
ArcFace,VGG-Face,yes,Self-transfer excluded; Facenet512->Facenet excluded as same-family case,0.1774,0.2544,17.740000000000002,25.44,7.700000000000001,0.0946781905616633,0.1204588453625328,0.0257806548008695,5000,5000
Facenet512,ArcFace,yes,Self-transfer excluded; Facenet512->Facenet excluded as same-family case,0.4286,0.4754,42.86,47.54,4.680000000000001,0.187546467910707,0.2050796612311154,0.0175331933204084,5000,5000
Facenet512,GhostFaceNet,yes,Self-transfer excluded; Facenet512->Facenet excluded as same-family case,0.3972,0.4278,39.72,42.78,3.0600000000000014,0.108525695859082,0.1191888504052534,0.0106631545461714,5000,5000
Facenet512,IR152,yes,Self-transfer excluded; Facenet512->Facenet excluded as same-family case,0.1916,0.2418,19.16,24.18,5.02,0.1973338664936833,0.2185637199413497,0.0212298534476663,5000,5000
Facenet512,VGG-Face,yes,Self-transfer excluded; Facenet512->Facenet excluded as same-family case,0.453,0.5092,45.300000000000004,50.92,5.619999999999997,0.1807237981762737,0.1977266085142269,0.0170028103379532,5000,5000
GhostFaceNet,ArcFace,yes,Self-transfer excluded; Facenet512->Facenet excluded as same-family case,0.1649298597194388,0.2160320641282565,16.49298597194388,21.603206412825653,5.110220440881763,0.0718479894014832,0.0954769785073632,0.0236289891058799,4990,4990
GhostFaceNet,Facenet,yes,Self-transfer excluded; Facenet512->Facenet excluded as same-family case,0.0448897795591182,0.075751503006012,4.48897795591182,7.5751503006012,3.0861723446893787,0.0816214398008758,0.1153055859543009,0.0336841461534251,4990,4990
GhostFaceNet,Facenet512,yes,Self-transfer excluded; Facenet512->Facenet excluded as same-family case,0.0390781563126252,0.0719438877755511,3.90781563126252,7.194388777555109,3.286573146292586,0.0862303643751019,0.1185685537613644,0.0323381893862624,4990,4990
GhostFaceNet,IR152,yes,Self-transfer excluded; Facenet512->Facenet excluded as same-family case,0.0484969939879759,0.0753507014028056,4.84969939879759,7.53507014028056,2.685370741482966,0.0852465614969496,0.1174860860516908,0.0322395245547412,4990,4990
GhostFaceNet,VGG-Face,yes,Self-transfer excluded; Facenet512->Facenet excluded as same-family case,0.0681362725450901,0.0973947895791583,6.81362725450901,9.73947895791583,2.925851703406813,0.0435120196788588,0.0589507117195106,0.0154386920406518,4990,4990
VGG-Face,ArcFace,yes,Self-transfer excluded; Facenet512->Facenet excluded as same-family case,0.4102,0.4918,41.02,49.18,8.16,0.1806143558867275,0.2133575266083702,0.0327431707216426,5000,5000
VGG-Face,Facenet,yes,Self-transfer excluded; Facenet512->Facenet excluded as same-family case,0.3798,0.514,37.980000000000004,51.4,13.419999999999998,0.3075852880027145,0.3653129072032869,0.0577276192005724,5000,5000
VGG-Face,Facenet512,yes,Self-transfer excluded; Facenet512->Facenet excluded as same-family case,0.4572,0.5868,45.72,58.68,12.96,0.3465138490977697,0.4133992448328062,0.0668853957350365,5000,5000
VGG-Face,GhostFaceNet,yes,Self-transfer excluded; Facenet512->Facenet excluded as same-family case,0.3544,0.3978,35.44,39.78,4.34,0.0948396574735874,0.1090825106307864,0.014242853157199,5000,5000
VGG-Face,IR152,yes,Self-transfer excluded; Facenet512->Facenet excluded as same-family case,0.0992,0.1474,9.92,14.74,4.82,0.1506731094364077,0.1795691880548373,0.0288960786184296,5000,5000
